Line,Gradient,Intercept,Domain_Min,Domain_Max,Range_Min,Range_Max
1,-0.0896845,988.097,-2742.86,154.543,958.195,1252.1
2,2.30397,-753.78,-49.9023,549.491,-866.942,515.277
3,-1.71012,1019.4,269.328,605.197,31.1857,535.935
4,-0.0986531,1014.65,-2737.86,-93.8445,1013.37,1290.49
