Line,Gradient,Intercept,Domain_Min,Domain_Max,Range_Min,Range_Max
1,0.543516,-330,65.7779,2105.96,-281.415,830.239
2,-0.211228,470.695,-758.527,2881.07,-157.668,630.893
3,4.32,-110.096,-26.3985,164.894,-141.602,533.08
